Datum,waermebedarf_MWth,strompreis_EUR_MWh,grid_co2_kg_MWh,T_outdoor,T_ground,WRG1_T_K,WRG1_Q_cap,WRG2_T_K,WRG2_Q_cap,WRG3_T_K,WRG3_Q_cap,WRG4_T_K,WRG4_Q_cap,zone_01_demand_MWth,zone_02_demand_MWth,zone_03_demand_MWth,zone_04_demand_MWth,zone_05_demand_MWth,zone_06_demand_MWth,zone_07_demand_MWth,zone_08_demand_MWth,zone_09_demand_MWth,zone_10_demand_MWth,zone_11_demand_MWth,zone_12_demand_MWth,zone_13_demand_MWth,zone_14_demand_MWth,zone_15_demand_MWth,zone_16_demand_MWth,zone_17_demand_MWth,zone_18_demand_MWth,zone_19_demand_MWth,zone_20_demand_MWth,zone_21_demand_MWth,zone_22_demand_MWth,zone_23_demand_MWth
2023-01-01 00:00:00,50.99342830602247,60.0,400.0,6.975268145173784,10.0,284.5092237679943,5.0,286.3490056064149,3.5,281.69871486175634,4.2,286.3146248118393,3.8,3.290959462904203,2.546664164441437,2.272187407110252,2.077376028742035,1.967960389758011,2.701146405850791,2.496403717698638,1.965172492531936,2.0205691317004084,2.2061031817130665,1.2809693771921118,2.978201643459902,2.7249726297662304,2.0565011348017013,2.123373003786898,1.3475189354162382,1.5000000773072535,3.052971116633538,2.521994770278199,2.009698452108407,2.263936652235242,1.9385705713698722,1.6044490560139677
2023-01-01 01:00:00,49.72347139765763,60.0,410.3527618041009,6.560952610775739,10.0,283.492527671285,5.0,287.35722831669403,3.5,282.0257492324706,4.2,286.2571182680084,3.8,3.039731873125165,2.2672391136846284,2.10282425547003,2.271423112635794,1.8812664014870302,2.592415070068882,2.476898905736225,1.9454614052807635,2.0846339947052823,1.8972856863571164,1.289099626767568,3.0027580413736317,2.6887184412906557,1.905799197117101,1.9830997971457585,1.316971935679272,1.4864501885821315,2.7418583222571873,2.34579605601938,2.0652498110871393,1.8220933371730965,1.8776553022077747,1.4889010408720385
2023-01-01 02:00:00,51.29537707620138,60.0,420.0,4.938638989218851,10.0,283.22097114074893,5.0,288.82586290855124,3.5,281.81521215152225,4.2,284.1849766105644,3.8,3.235877544648859,2.6736131215205736,2.2115424921803264,2.0549284845836846,1.809292409089892,2.5778892009921823,2.5664375223658245,2.0040982222135364,2.1086404965604126,1.8754080576755239,1.5088168848318022,3.2458855216782463,2.6469479398044453,1.9245028755442959,2.1277891165155243,1.3685699834377063,1.6726883461442876,2.925893433326916,2.533105911835276,2.0206720359245236,2.0007290362563355,1.9064368359764845,1.4510475750939438
2023-01-01 03:00:00,53.046059712816046,60.0,428.2842712474619,5.0698845295323824,10.0,283.3683794300691,5.0,286.8725508943921,3.5,281.2720184606404,4.2,285.44436662481826,3.8,3.311321042380578,2.3400385629647675,2.154790573451503,1.9863619466072544,2.082205815143946,2.8750968924125213,2.6516284216624304,1.8573740790863373,2.3805901031923407,2.1057349498979434,1.4995003444840285,3.2053568183819388,3.0491425192583383,2.127285656050943,2.2852536972329647,1.4554439240862083,1.4898782376309678,3.0679591574104417,2.6967292386979524,2.2433869386848455,2.1943146308214194,2.0255200163818414,1.6354143221927355
2023-01-01 04:00:00,49.53169325055333,65.0,434.6410161513775,4.485149892753212,10.0,284.8457965811718,5.0,286.35555920886713,3.5,283.0970432558897,4.2,284.77884830906834,3.8,3.10508738156983,2.3265192300625435,2.1513070042780846,1.9653969788955579,1.9982190047304518,2.4115220903794232,2.501750378959408,1.8099815121289284,2.0912386404976724,1.8899750913816324,1.3043237085911112,2.897084124499973,2.6675311421325683,1.8267999119001177,2.1486320482949335,1.2745737663802414,1.4410803255748372,2.7868643609874675,2.4106887265680497,2.1354176291677627,1.974619067935406,1.911142548415056,1.4351619529823458
2023-01-01 05:00:00,51.41599822539844,72.23542864692438,438.6370330515628,4.34844815313687,10.0,285.6823039496333,5.0,288.4873744229838,3.5,281.33809976717794,4.2,290.5045408868472,3.8,3.0835740784771604,2.48886268224173,2.271811002951001,2.2239831706528745,2.2688215394511664,2.7068100044743253,2.510050335206343,1.9437776701732794,2.1950658463001886,2.076846948840614,1.4803499095213897,3.5553187248715856,2.7669813830405574,1.8194518038171927,2.1823977995646593,1.3987939010492807,1.7026055903272612,2.9097677874986654,2.6011341423397436,2.337256288767766,2.1073834808400354,2.028834764099938,1.4718752987941568
2023-01-01 06:00:00,57.79011075721774,80.0,440.0,4.144584321953909,10.0,285.55338159866005,5.0,288.48993314221747,3.5,283.54091365155966,4.2,288.87135678629494,3.8,3.6096096353594205,2.8686079318249,2.4267024907778536,2.4378440069729783,2.3782355180700545,2.9298663119987602,3.012203606780912,1.8908557113849511,2.5080355646728467,2.3157892292966586,1.5626816917899442,3.608731427360888,3.154299100161034,2.282932796895,2.4533851640563147,1.5360559293311016,1.7335360844933405,3.151007987400268,2.8359840011790562,2.3954975374500393,2.28118827768538,2.3307900227059735,1.6640351263183202
2023-01-01 07:00:00,58.07129708980944,87.76457135307562,438.6370330515628,5.329872591088242,10.0,286.654366498072,5.0,286.98611364925773,3.5,282.8995237811017,4.2,289.54311018998834,3.8,3.7129387771310767,3.046915902956206,2.717330155271679,2.556906994658911,2.0975200064655595,3.0278597300435712,2.614333406048788,2.1930762189602557,2.311587421499626,2.144449756434815,1.6539675979960786,3.83794385731251,3.1675062396969005,2.3698969020257503,2.2498994768037464,1.6048944885657264,1.5987383404745759,3.3631539567652746,2.9899941564181116,2.266282195323851,2.351264055687422,2.3057643380362904,1.7095112279385203
2023-01-01 08:00:00,56.685471719382136,95.0,434.6410161513775,4.083053796521026,10.0,285.0260037837558,5.0,287.05792338876336,3.5,282.5221039062672,4.2,288.4433441280865,3.8,3.7928618498004356,2.50077422522781,2.3433929608950264,2.4657738858494236,2.18834920102166,3.009268283537183,2.421438213063175,2.2897025471204966,2.438131446505179,2.4278357798047887,1.6160776606135476,3.881149699400466,3.027146965793906,2.132873263938792,2.521686578536932,1.5876391434586683,1.4890135894439127,3.411111022105129,2.8447579483395504,2.2056595236376677,2.2913091446720317,2.212753671412796,1.5710266094357808
2023-01-01 09:00:00,61.265916662915096,101.21320343559644,428.2842712474619,4.613181178939449,10.0,287.90706815431463,5.0,288.46409987471526,3.5,281.1848726759168,4.2,284.7418964575656,3.8,4.005344855262546,2.9040673776525527,2.680856682459781,2.5170879262973984,2.436645020348203,2.9933424156042756,3.111048795659117,2.3905985006137587,2.46519414573887,2.329589521206412,1.7665247762354184,3.729553911382152,3.5618827021655872,2.259114179959654,2.6086777288683405,1.6769871874394617,1.8395349962458258,3.2274483005074317,3.1118936943408095,2.5259196397348753,2.551919862430786,2.4271357020095583,1.7020537951114
2023-01-01 10:00:00,59.49493557189459,105.98076211353316,420.0,5.188429736787618,10.0,284.4706863335241,5.0,285.10383131700536,3.5,281.84645733886333,4.2,285.95095946744044,3.8,4.111127367803622,2.5858661120492377,2.67585928260832,2.4629088164747475,2.2190880326812854,2.8258334626013424,2.8649778689532543,1.9319184659031863,2.459537937942492,2.2747104536197846,1.7347520238460428,3.7030787569967556,3.3333491032130125,2.4167490404607075,2.658995412812565,1.6622771149954638,1.708886619916658,3.5089578378020017,2.851418074563446,2.545071580084782,2.3527930752905375,2.3634624162083346,1.6113528601725304
