gap_pct,heat_intensity,storage_h,n_nodes,length_km
0.8778856033795615,0.8,12,5,9.785279110487272
1.2246123420858512,0.1,6,5,33.85184139586645
0.4027778374320662,0.1,12,5,1.1385245771443828
1.89513156601578,0.8,6,5,13.639792979288524
1.4591361422158595,0.1,6,30,46.44831834274399
0.9056988129775265,0.4,6,5,33.85501322867051
3.313165461731922,0.4,12,30,4.153429100257124
3.278436437251968,0.8,2,15,43.706236430739516
1.428344638195945,0.8,2,30,33.4200890785974
2.7259403220772525,0.8,12,5,7.5832351276212355
2.6726878137318497,0.8,2,5,7.61930526295401
2.1003859993536036,0.8,2,15,16.87085755456973
0.5958619504726161,0.8,12,15,36.714697711199136
2.1009967564846876,0.8,6,30,27.268341719046685
1.9539286963103737,0.8,12,30,11.888481016255177
3.314388716545154,0.1,12,30,24.323859238313652
2.8027230038783646,0.8,12,15,5.003461173822228
3.1435501912803767,0.8,12,15,22.999205697087504
2.403660399102761,0.8,6,5,15.26425027850891
3.2153237417664693,0.4,12,30,6.02071549228377
1.4156549302138717,0.1,12,15,48.14924201870343
0.842523112669782,0.8,12,30,35.048657620725116
0.2387111368541689,0.8,2,5,4.792134587601381
2.405934913998833,0.1,12,5,34.89688995130159
0.28597979354644065,0.8,12,5,39.32600900866875
2.1225677201208,0.8,2,15,10.457842322735315
3.2982698563993806,0.8,2,15,6.950222861627085
0.3793782856199737,0.4,6,30,44.550678996652834
1.6140575035264921,0.8,12,5,27.236109099076714
2.714235880283228,0.8,12,5,8.356352366134372
0.6618684017821101,0.1,2,15,37.80580102790652
3.161625946810019,0.1,2,5,36.32551417071764
2.7218104329006514,0.1,12,30,24.790385462934605
2.431340595059134,0.4,6,5,37.87661060746184
0.6730922566470198,0.1,2,5,5.436017941255213
0.6883369859410629,0.8,6,5,1.5014742420143237
