Datum,strompreis_EUR_MWh,grid_co2_kg_MWh,total_demand_MWth
2025-01-01 00:00:00,2.16,170.32,10.046439259274385
2025-01-01 00:15:00,2.16,168.81,10.587833845372211
2025-01-01 00:30:00,2.16,165.54,7.185829020935941
2025-01-01 00:45:00,2.16,164.53,7.185829020935941
2025-01-01 01:00:00,1.6,158.82,11.020331168455732
2025-01-01 01:15:00,1.6,157.28,9.916416860976142
2025-01-01 01:30:00,1.6,157.95,10.454408235544781
2025-01-01 01:45:00,1.6,157.23,10.992733125971423
2025-01-01 02:00:00,0.0,160.92,8.103625269046226
2025-01-01 02:15:00,0.0,160.0,7.481527487519716
2025-01-01 02:30:00,0.0,158.91,10.421005580906472
2025-01-01 02:45:00,0.0,158.7,10.892402804445332
2025-01-01 03:00:00,-0.01,158.5,10.74844872470064
2025-01-01 03:15:00,-0.01,158.69,11.145509262774754
2025-01-01 03:30:00,-0.01,157.81,8.641307013038743
2025-01-01 03:45:00,-0.01,156.93,7.748245469953725
2025-01-01 04:00:00,-0.01,154.3,10.086216954669776
2025-01-01 04:15:00,-0.01,154.54,11.261044335617989
2025-01-01 04:30:00,-0.01,154.38,10.952549435166613
2025-01-01 04:45:00,-0.01,154.73,11.218716035684931
2025-01-01 05:00:00,-0.06,149.54,9.005605734970294
2025-01-01 05:15:00,-0.06,149.31,7.971042482410884
2025-01-01 05:30:00,-0.06,147.76,9.887297753888971
2025-01-01 05:45:00,-0.06,147.1,11.390122782985875
2025-01-01 06:00:00,-0.09,144.63,11.09561475734919
2025-01-01 06:15:00,-0.09,142.34,11.258559094290986
2025-01-01 06:30:00,-0.09,141.65,9.271787149990736
2025-01-01 06:45:00,-0.09,140.19,8.158075787257555
2025-01-01 07:00:00,-0.01,138.43,9.7615908690396
2025-01-01 07:15:00,-0.01,136.82,11.414500244334306
2025-01-01 07:30:00,-0.01,134.48,11.196948813268294
2025-01-01 07:45:00,-0.01,133.02,11.281952679951427
2025-01-01 08:00:00,-0.01,131.41,9.475821585822855
2025-01-01 08:15:00,-0.01,129.9,8.317315490696929
2025-01-01 08:30:00,-0.01,128.07,9.678894558288738
2025-01-01 08:45:00,-0.01,126.06,11.39153531653239
2025-01-01 09:00:00,-0.04,122.96,11.269104458750986
2025-01-01 09:15:00,-0.04,120.3,11.29629147923624
2025-01-01 09:30:00,-0.04,118.79,9.637578484425713
